Jahr,Geschlecht_Code,Geschlecht_Bez,Verwaltungsregion_Code,Verwaltungsregion_Bez,Träger_Code,Träger_Bez,Bildungsart_Code,Bildungsart_Bez,Typ_Code,Typ_Bez,Unterrichtssprache_Code,Unterrichtssprache_Bez,Anzahl_Total,Anzahl_Frauen,Anzahl_Männer
2014,1,männlich,2,Biel-Seeland,191,private Schule,10342000,Berufsmaturität I - kaufmännische Richtung,1,Berufsmaturität I,1,deutsch,12,0,12
2014,1,männlich,2,Biel-Seeland,191,private Schule,10352000,Berufsmaturität II - kaufmännische Richtung,2,Berufsmaturität II,1,deutsch,16,0,16
2014,1,männlich,2,Biel-Seeland,191,private Schule,10352000,Berufsmaturität II - kaufmännische Richtung,2,Berufsmaturität II,2,französisch,6,0,6
2014,1,männlich,3,Oberland,190,öffentliche Schule,10312000,MAR eine moderne Sprache,3,gymnasiale Maturität,1,deutsch,7,0,7
2014,1,männlich,3,Oberland,190,öffentliche Schule,10313000,MAR Physik und Anwendungen der Mathematik,3,gymnasiale Maturität,1,deutsch,27,0,27
2014,1,männlich,3,Oberland,190,öffentliche Schule,10314000,MAR Biologie und Chemie,3,gymnasiale Maturität,1,deutsch,36,0,36
2014,1,männlich,3,Oberland,190,öffentliche Schule,10315000,MAR Wirtschaft und Recht,3,gymnasiale Maturität,1,deutsch,30,0,30
2014,1,männlich,3,Oberland,190,öffentliche Schule,10316000,"MAR Philosophie, Pädagogik, Psychologie",3,gymnasiale Maturität,1,deutsch,4,0,4
2014,1,männlich,3,Oberland,190,öffentliche Schule,10317000,MAR bildnerisches Gestalten,3,gymnasiale Maturität,1,deutsch,4,0,4
2014,1,männlich,3,Oberland,190,öffentliche Schule,10318000,MAR Musik,3,gymnasiale Maturität,1,deutsch,11,0,11
2014,1,männlich,3,Oberland,190,öffentliche Schule,10341000,Berufsmaturität I - technische Richtung,1,Berufsmaturität I,1,deutsch,31,0,31
2014,1,männlich,3,Oberland,190,öffentliche Schule,10342000,Berufsmaturität I - kaufmännische Richtung,1,Berufsmaturität I,1,deutsch,4,0,4
2014,1,männlich,3,Oberland,190,öffentliche Schule,10351000,Berufsmaturität II - technische Richtung,2,Berufsmaturität II,1,deutsch,55,0,55
2014,1,männlich,3,Oberland,191,private Schule,10342000,Berufsmaturität I - kaufmännische Richtung,1,Berufsmaturität I,1,deutsch,19,0,19
2014,1,männlich,3,Oberland,191,private Schule,10352000,Berufsmaturität II - kaufmännische Richtung,2,Berufsmaturität II,1,deutsch,39,0,39
2014,1,männlich,4,Emmetal-Oberaargau,190,öffentliche Schule,10311000,MAR alte Sprachen,3,gymnasiale Maturität,1,deutsch,1,0,1
2014,1,männlich,4,Emmetal-Oberaargau,190,öffentliche Schule,10312000,MAR eine moderne Sprache,3,gymnasiale Maturität,1,deutsch,11,0,11
2014,1,männlich,4,Emmetal-Oberaargau,190,öffentliche Schule,10313000,MAR Physik und Anwendungen der Mathematik,3,gymnasiale Maturität,1,deutsch,19,0,19
2014,1,männlich,4,Emmetal-Oberaargau,190,öffentliche Schule,10314000,MAR Biologie und Chemie,3,gymnasiale Maturität,1,deutsch,12,0,12
2014,1,männlich,4,Emmetal-Oberaargau,190,öffentliche Schule,10315000,MAR Wirtschaft und Recht,3,gymnasiale Maturität,1,deutsch,36,0,36
2014,1,männlich,4,Emmetal-Oberaargau,190,öffentliche Schule,10316000,"MAR Philosophie, Pädagogik, Psychologie",3,gymnasiale Maturität,1,deutsch,7,0,7
2014,1,männlich,4,Emmetal-Oberaargau,190,öffentliche Schule,10317000,MAR bildnerisches Gestalten,3,gymnasiale Maturität,1,deutsch,7,0,7
2014,1,männlich,4,Emmetal-Oberaargau,190,öffentliche Schule,10318000,MAR Musik,3,gymnasiale Maturität,1,deutsch,7,0,7
2014,1,männlich,4,Emmetal-Oberaargau,190,öffentliche Schule,10341000,Berufsmaturität I - technische Richtung,1,Berufsmaturität I,1,deutsch,24,0,24
2014,1,männlich,4,Emmetal-Oberaargau,190,öffentliche Schule,10351000,Berufsmaturität II - technische Richtung,2,Berufsmaturität II,1,deutsch,24,0,24
2014,1,männlich,4,Emmetal-Oberaargau,190,öffentliche Schule,10356000,Berufsmaturität II - gesundheitliche und soziale Richtung,2,Berufsmaturität II,1,deutsch,4,0,4
2014,1,männlich,4,Emmetal-Oberaargau,191,private Schule,10342000,Berufsmaturität I - kaufmännische Richtung,1,Berufsmaturität I,1,deutsch,8,0,8
2014,1,männlich,4,Emmetal-Oberaargau,191,private Schule,10352000,Berufsmaturität II - kaufmännische Richtung,2,Berufsmaturität II,1,deutsch,14,0,14
2014,1,männlich,5,Berner Jura,190,öffentliche Schule,10341000,Berufsmaturität I - technische Richtung,1,Berufsmaturität I,2,französisch,21,0,21
2014,1,männlich,5,Berner Jura,190,öffentliche Schule,10342000,Berufsmaturität I - kaufmännische Richtung,1,Berufsmaturität I,2,französisch,48,0,48
2014,1,männlich,5,Berner Jura,190,öffentliche Schule,10351000,Berufsmaturität II - technische Richtung,2,Berufsmaturität II,2,französisch,10,0,10
2014,1,männlich,5,Berner Jura,190,öffentliche Schule,10356000,Berufsmaturität II - gesundheitliche und soziale Richtung,2,Berufsmaturität II,2,französisch,3,0,3
2014,2,weiblich,1,Bern-Mittelland,190,öffentliche Schule,10311000,MAR alte Sprachen,3,gymnasiale Maturität,1,deutsch,1,1,0
2014,2,weiblich,1,Bern-Mittelland,190,öffentliche Schule,10312000,MAR eine moderne Sprache,3,gymnasiale Maturität,1,deutsch,113,113,0
2014,2,weiblich,1,Bern-Mittelland,190,öffentliche Schule,10313000,MAR Physik und Anwendungen der Mathematik,3,gymnasiale Maturität,1,deutsch,11,11,0
2014,2,weiblich,1,Bern-Mittelland,190,öffentliche Schule,10314000,MAR Biologie und Chemie,3,gymnasiale Maturität,1,deutsch,78,78,0
2014,2,weiblich,1,Bern-Mittelland,190,öffentliche Schule,10315000,MAR Wirtschaft und Recht,3,gymnasiale Maturität,1,deutsch,72,72,0
2014,2,weiblich,1,Bern-Mittelland,190,öffentliche Schule,10316000,"MAR Philosophie, Pädagogik, Psychologie",3,gymnasiale Maturität,1,deutsch,93,93,0
2014,2,weiblich,1,Bern-Mittelland,190,öffentliche Schule,10317000,MAR bildnerisches Gestalten,3,gymnasiale Maturität,1,deutsch,65,65,0
2014,2,weiblich,1,Bern-Mittelland,190,öffentliche Schule,10318000,MAR Musik,3,gymnasiale Maturität,1,deutsch,39,39,0
2014,2,weiblich,1,Bern-Mittelland,190,öffentliche Schule,10341000,Berufsmaturität I - technische Richtung,1,Berufsmaturität I,1,deutsch,17,17,0
